SMA Period,Final Net Worth,Return Percentage
5,997214.6982797559,-0.278530172024416
10,1001677.1384665428,0.16771384665428268
15,1003579.1363974406,0.3579136397440674
20,1002422.8054294222,0.24228054294221923
30,1002422.8054294222,0.24228054294221923
