snapped_at,open,market_cap,total_volume,date,SMA_5,SMA_10,SMA_15,SMA_20,SMA_30,EMA_12,EMA_26,MACD,Signal_Line
2023-10-01 00:00:00 UTC,1670.998956,201000000000.0,5460542607.0,2023-10-01 00:00:00+00:00,1636.2174276,1612.0510491,1618.6183423333334,1615.0125427500002,1621.1206807333333,1627.041396895777,1631.7917358659806,-4.750338970203529,-16.046420824985802
2023-10-02 00:00:00 UTC,1733.818035,209000000000.0,8645520967.0,2023-10-02 00:00:00+00:00,1664.4838094,1627.0504279000002,1625.2448856666665,1624.20877335,1624.5610855666666,1643.4685719887343,1639.3492395055375,4.119332483196786,-12.013270163349285
2023-10-03 00:00:00 UTC,1665.276425,200000000000.0,14431074410.0,2023-10-03 00:00:00+00:00,1678.0557324000001,1634.231055,1628.0980621999997,1627.72386955,1625.5315597666668,1646.8236262981598,1641.2697717643864,5.553854533773347,-8.499845223924758
2023-10-04 00:00:00 UTC,1656.322003,199000000000.0,7250285380.0,2023-10-04 00:00:00+00:00,1678.8808536000001,1640.5452579,1629.4105551333334,1630.15313485,1626.2288584333332,1648.28491502152,1642.3847518559135,5.9001631656065,-5.619843546018507
2023-10-05 00:00:00 UTC,1648.193373,198000000000.0,8175156482.0,2023-10-05 00:00:00+00:00,1674.9217584000003,1647.3168157,1629.7102188000001,1631.24098645,1626.8143859666668,1648.2708316335938,1642.815020088809,5.455811544784865,-3.4047125278578325
2023-10-06 00:00:00 UTC,1612.994889,194000000000.0,8787267282.0,2023-10-06 00:00:00+00:00,1663.320945,1649.7691863,1629.1410144,1629.793993,1626.1449821333333,1642.8437635361179,1640.606121489638,2.2376420464797775,-2.2762416129903107
2023-10-07 00:00:00 UTC,1646.393402,198000000000.0,8345308635.0,2023-10-07 00:00:00+00:00,1645.8360183999998,1655.1599139000002,1633.3122914,1630.39266885,1626.5946816666665,1643.3898617613306,1641.03480893485,2.355052826480687,-1.3499827250961112
2023-10-08 00:00:00 UTC,1635.082855,197000000000.0,3685199370.0,2023-10-08 00:00:00+00:00,1639.7973043999998,1658.9265184,1636.0864714666668,1631.02287275,1626.2206073999998,1642.1118607211258,1640.5939234581942,1.5179372629315822,-0.7763987274905726
2023-10-09 00:00:00 UTC,1634.221655,196000000000.0,5142739596.0,2023-10-09 00:00:00+00:00,1635.3772348,1657.1290442000002,1638.8225835333333,1630.90222505,1626.1495206,1640.8979829178757,1640.121903572402,0.7760793454735904,-0.46590311289774
2023-10-10 00:00:00 UTC,1580.17776,190000000000.0,10498003428.0,2023-10-10 00:00:00+00:00,1621.7741122000002,1648.3479352999998,1638.8025812,1627.7261921499999,1624.3405810666666,1631.5564101612795,1635.6815966411132,-4.125186479833701,-1.1977597862849323
2023-10-11 00:00:00 UTC,1567.458226,189000000000.0,8495369533.0,2023-10-11 00:00:00+00:00,1612.6667796,1637.9938623,1637.4017174,1625.0224557000001,1622.6729826,1621.6951510595443,1630.6280136306605,-8.932862571116175,-2.744780343251181
2023-10-12 00:00:00 UTC,1564.916203,188000000000.0,8015939736.0,2023-10-12 00:00:00+00:00,1596.3713398,1621.1036791000001,1635.5637225333335,1624.0770535,1623.1737419333333,1612.959928281153,1625.7604721024634,-12.800543821310384,-4.755933038863022
2023-10-13 00:00:00 UTC,1536.812805,185000000000.0,9246820572.0,2023-10-13 00:00:00+00:00,1576.7173298,1608.2573171,1631.5234555333332,1621.24418605,1621.2350187333332,1601.2449862378985,1619.1717560207994,-17.92676978290092,-7.390100387670602
