snapped_at,open,market_cap,total_volume,date,SMA_5,STD_5,SMA_10,STD_10,SMA_15,STD_15,SMA_20,STD_20,SMA_30,STD_30,EMA_12,EMA_26,MACD,Signal_Line
2024-01-01 00:00:00 UTC,2279.941009,274000000000.0,6715146405.0,2024-01-01 00:00:00+00:00,2319.168636,40.434364374530304,2300.3267746,42.07415194715567,2268.745644,58.4517357790228,2262.8876934,55.39713926885076,2267.0877325333336,61.11969642069507,2285.648035759841,2248.781946910552,36.8660888492891,41.65383064509584
2024-01-02 00:00:00 UTC,2350.026286,282000000000.0,9173151406.0,2024-01-02 00:00:00+00:00,2313.8196434,31.744394069698206,2302.6245069,44.26596222072518,2278.778055,58.63925739594171,2270.3723219,56.60005518891004,2273.245346033333,59.802273362878424,2295.5523819506348,2256.2815275838448,39.27085436678999,41.17723538943467
2024-01-03 00:00:00 UTC,2360.78212,283000000000.0,20590257636.0,2024-01-03 00:00:00+00:00,2316.9239256,36.054046173298175,2307.6071526,47.95821204125912,2288.368262066667,59.55768922496611,2275.36731025,60.02308003934946,2278.9146153666666,59.76922464730852,2305.587726265922,2264.022312207264,41.56541405865801,41.254871123279344
2024-01-04 00:00:00 UTC,2211.170828,266000000000.0,34451776444.0,2024-01-04 00:00:00+00:00,2299.2528498,60.24798631848084,2302.2331209999998,55.66579272303675,2290.6570230666666,55.48606008337489,2270.0525979500003,60.80022329195535,2277.854924866667,60.7031656360165,2291.0620496096262,2260.1073874511703,30.954662158455903,39.194829330314654
2024-01-05 00:00:00 UTC,2270.977439,273000000000.0,18341104523.0,2024-01-05 00:00:00+00:00,2294.5795363999996,61.614694350272245,2301.9676037,55.82347959139385,2295.4940920666663,49.73555651559782,2272.603889,59.64687370519331,2277.0843338333334,60.636592787777474,2287.9721095158375,2260.912576454787,27.059533061050388,36.7677700764618
2024-01-06 00:00:00 UTC,2267.087035,272000000000.0,18739484390.0,2024-01-06 00:00:00+00:00,2292.0087415999997,62.63782495182041,2305.5886888,51.72350573329121,2297.5540969333333,47.70199835624688,2274.5614183999996,58.73932520689188,2278.253053666667,60.07344931097393,2284.7590211287857,2261.3699437544324,23.389077374353292,34.092031536040096
2024-01-07 00:00:00 UTC,2241.510827,269000000000.0,8619189688.0,2024-01-07 00:00:00+00:00,2270.3056497999996,55.9528180950802,2292.0626466,48.63396929941514,2291.8515545333335,49.01883398514416,2276.6599536999997,56.62988225015535,2274.4905168666664,58.65876878297543,2278.10545280128,2259.8988980689187,18.206554732361383,30.914936175304355
2024-01-08 00:00:00 UTC,2220.151562,266000000000.0,10135753413.0,2024-01-08 00:00:00+00:00,2242.1795381999996,26.911528689590032,2279.5517319,49.51240821728501,2285.7979477999997,52.00691907637269,2276.8210811,56.455302135013575,2269.8326004,57.17294074650034,2269.189469601083,2256.9546509527027,12.234818648380497,27.178912669919583
2024-01-09 00:00:00 UTC,2331.660329,280000000000.0,26223624729.0,2024-01-09 00:00:00+00:00,2266.2774384,41.948329374733596,2282.7651441,51.936257046299986,2290.2478934666665,52.93941553136793,2284.5621269000003,52.500303255556744,2269.518862,56.79309208142464,2278.8003710470703,2262.488404882132,16.31196616493844,25.005523368923356
2024-01-10 00:00:00 UTC,2341.160624,281000000000.0,21533561123.0,2024-01-10 00:00:00+00:00,2280.3140754,53.94190147265153,2287.4468059,55.10913981623728,2294.7497609333336,54.279817629886196,2291.6990879,49.80688838563182,2269.154258533333,56.277429683039934,2288.394256116752,2268.3159766686404,20.078279448111516,24.02007458476099
